"GEOID","tot_can","MINORPCT","LOWINCPCT","LESSHSPCT","LINGISOPCT","UNDER5PCT","OVER64PCT","SUM_ECSI_open","SUM_LUST_open","countAdv","all_cat","PM25_EPA","PM25_NWAQ_MAX","PM25_Mean_NWAQ","min_dec","min_quin","un5_dec","un5_quin","o64_dec","o64_quin","lhs_dec","lhs_quin","inc_dec","inc_quin","lin_dec","lin_quin","lus_av","lus_max","lus_num"
410110001002,13.85957802,0.003516999,0.269636577,0.160714286,0,0,0.29073857,1,1,NA,"Medium",5.383106,5,4.631079,"(0,0.0503]",1,NA,NA,"(0.248,0.309]",9,"(0.157,0.213]",9,"(0.233,0.283]",4,"(0, 0]",1,615,615,1
410110001003,13.85957802,0.226968174,0.45,0.09955157,0.059273423,0,0.336683417,0,0,8,"Medium",5.383106,5,4.139672,"(0.212,0.266]",7,NA,NA,"(0.309,0.832]",10,"(0.0968,0.122]",7,"(0.432,0.499]",8,"(0.0404, 0.0748]",9,NA,NA,NA
410110001003,13.85957802,0.226968174,0.45,0.09955157,0.059273423,0,0.336683417,0,0,4,"Medium",5.383106,5,4.139672,"(0.212,0.266]",7,NA,NA,"(0.309,0.832]",10,"(0.0968,0.122]",7,"(0.432,0.499]",8,"(0.0404, 0.0748]",9,NA,NA,NA
410110001004,13.85957802,0.002650177,0.687279152,0.286131387,0,0,0,1,0,NA,"Medium",5.383106,6,5.108479,"(0,0.0503]",1,NA,NA,NA,NA,"(0.213,1]",10,"(0.592,1]",10,"(0, 0]",1,NA,NA,NA
410110001005,13.85957802,0.018079096,0.248587571,0,0,0.092655367,0.201129944,0,0,NA,"Medium",5.383106,6,5.286417,"(0,0.0503]",1,"(0.0812,0.1]",9,"(0.183,0.21]",7,NA,NA,"(0.233,0.283]",4,"(0, 0]",1,NA,NA,NA
410110001006,13.85957802,0.117732558,0.341569767,0.031796502,0,0,0.271802326,2,0,NA,"Low",5.383106,6,4.380584,"(0.109,0.139]",4,NA,NA,"(0.248,0.309]",9,"(0.0282,0.0447]",3,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
410110002001,15.01123317,0.075862069,0.239001189,0,0,0.016091954,0.332183908,1,1,NA,"Medium",5.33298,7,4.774357,"(0.0503,0.0826]",2,"(0.00931,0.023]",2,"(0.309,0.832]",10,NA,NA,"(0.233,0.283]",4,"(0, 0]",1,1915,1915,1
410110002002,15.01123317,0.053306343,0.325910931,0.141837645,0.02559415,0.060053981,0.265182186,1,1,NA,"Medium",5.33298,5,3.79529,"(0.0503,0.0826]",2,"(0.0588,0.0686]",7,"(0.248,0.309]",9,"(0.122,0.157]",8,"(0.283,0.331]",5,"(0.0218,0.0404]",8,NA,NA,NA
410110002003,15.01123317,0.014457831,0.549878345,0.00867052,0,0.031325301,0.419277108,0,0,NA,"Medium",5.33298,6,4.474863,"(0,0.0503]",1,"(0.023,0.0324]",3,"(0.309,0.832]",10,"(0,0.0114]",1,"(0.499,0.592]",9,"(0, 0]",1,NA,NA,NA
410110003001,16.0181777,0.225409836,0.463258786,0.120115774,0.056768559,0.089139344,0.25204918,5,2,NA,"Medium",5.482671,7,6.03129,"(0.212,0.266]",7,"(0.0812,0.1]",9,"(0.248,0.309]",9,"(0.0968,0.122]",7,"(0.432,0.499]",8,"(0.0404, 0.0748]",9,630,935,2
410110003002,16.0181777,0.122983871,0.310483871,0.049627792,0,0,0.266129032,0,0,NA,"Medium",5.482671,7,6.009252,"(0.109,0.139]",4,NA,NA,"(0.248,0.309]",9,"(0.0447,0.0616]",4,"(0.283,0.331]",5,"(0, 0]",1,NA,NA,NA
410110003003,16.0181777,0.434850863,0.182103611,0.147286822,0,0.031397174,0.125588697,0,1,NA,"Low",5.482671,6,6,"(0.336,0.442]",9,"(0.023,0.0324]",3,"(0.113,0.134]",4,"(0.122,0.157]",8,"(0.177,0.233]",3,"(0, 0]",1,460,460,1
410110003004,16.0181777,0.16902834,0.318825911,0.045655376,0.01965602,0.030364372,0.187246964,0,0,NA,"Medium",5.482671,6,6,"(0.139,0.172]",5,"(0.023,0.0324]",3,"(0.183,0.21]",7,"(0.0447,0.0616]",4,"(0.283,0.331]",5,"(0.07901, 0.0218]",7,NA,NA,NA
